DATA_LANCAMENTO,VALOR_LANC,DESCRICAO_LANC,CLIENTE,FORNECEDOR,DOCUMENTO,TIPO
01/10/2024,150.00,COMPRA MATERIAL,FORNECEDOR ABC LTDA,,NF 001234,D
02/10/2024,80.50,REFEICAO CLIENTE,,RESTAURANTE XPTO,NF 001235,D
03/10/2024,5000.00,VENDA PRODUTO,CLIENTE MARIA SANTOS,,TXID E4A5B6C7-D8E9-F0A1-B2C3-D4E5F6A7B8C9,C
04/10/2024,120.00,COMBUSTIVEL,,POSTO SHELL,NF 001236,D
05/10/2024,250.00,PAGAMENTO FORNECEDOR,FORNECEDOR ABC LTDA,,123456789012,D
06/10/2024,89.90,ASSINATURA SOFTWARE,,NETFLIX BRASIL,FAT 789456,D
07/10/2024,1500.00,RECEBIMENTO VENDA,CLIENTE JOÃO SILVA,,TED 987654,C
08/10/2024,45.30,TRANSPORTE,,UBER BRASIL,CORRIDA 456123,D
09/10/2024,320.00,MATERIAL ESCRITORIO,,PAPELARIA CENTRAL,NF 001237,D
10/10/2024,650.00,HONORARIOS CONTABEIS,,ESCRITORIO CONTABIL XYZ,FAT 123789,D
